index,windspeed
188,3.8191834029199967
189,3.7887135471115534
190,3.345642666660894
191,2.778519204663185
192,2.2016477175304203
193,1.9156723872975523
194,2.3596055694066767
195,2.5368780703891844
196,2.760275934165164
197,2.5065618386911632
198,2.596462527972955
199,3.0523341099572954
200,3.5159948212397154
201,3.6200723024143664
202,4.2650829720506875
203,4.521287939978757
204,4.684068912147584
205,5.063613570151465
206,4.795597698631991
207,4.861499026347707
208,4.355244373198198
209,4.5015721748864985
210,4.5925731460632555
211,4.731722496228472
212,4.930459295474535
213,5.216242044894851
214,5.235775367179303
215,5.165031995070931
216,4.930824639660813
217,5.110921875408797
218,4.876031466818997
219,4.722353835820766
220,4.584180477136803
221,4.485046419710821
222,4.21969299161432
223,4.055506076766672
224,3.970455349137287
225,4.000361082466015
226,4.0212515253721826
227,4.038884498482657
228,4.114684930156343
229,4.241332629454917
230,3.9863620774854414
231,3.834444699613298
232,3.8563680228298582
233,3.6595447958317635
234,3.5655697784210636
235,3.65607707490896
236,3.770259071052771
237,3.5590190232617736
238,3.2711622033769374
239,3.3484173914092974
240,3.8991633237385495
241,3.9824992715621335
242,3.3323457142572
243,2.8363946094657817
244,3.0753664986047444
245,2.6643250620165713
246,2.3325732933633696
247,2.4688516224038874
248,2.520318517136554
249,2.040163685817116
250,2.1819755014192825
251,2.366416608956902
252,2.7710909410446907
253,2.952382361493651
254,2.7797826748122625
255,2.4721505268373902
256,2.7472663005481035
257,2.9042422804818298
258,3.433730960634887
259,4.151032447240664
260,4.158701878495507
261,3.3521556055648256
262,2.8703106925313957
263,3.310912113576479
264,3.5810131689428
265,4.422150241449747
266,4.742074719060235
267,4.593557778921566
268,5.17388811424596
269,5.178348989140921
270,4.93208086556531
271,4.725902089193441
272,4.486026129950541
273,4.475655347304388
274,4.4569209607772295
275,4.392567621178235
276,4.264549866351476
277,4.221449530110316
278,4.021854762767596
279,4.337077818767385
280,4.391988699287569
281,4.3474715717209875
282,3.7559384589493967
283,3.20808496542615
284,3.7711949382166474
285,3.4117838860593483
286,3.3334008037954423
287,3.175704530386197
288,3.0628798046205548
289,4.343027914120423
290,3.940822143537528
291,4.30408645689862
292,4.462404537779532
293,4.845359432486278
294,4.86311195703334
295,4.942623911262863
296,4.9273310688298535
297,4.766102109004693
298,4.824979496895844
299,4.791041179746622
300,4.936421836977262
301,4.6807717997829865
302,4.856608246151625
303,4.552949322610578
304,4.5071154201042125
305,4.377976777123181
306,4.431505694355464
307,4.497702039956372
308,4.239011043638879
309,4.565683470849658
310,4.60928302523137
311,4.376726148188029
312,4.963174073482825
313,5.028068455270822
314,4.601119950187943
315,5.025919965931304
316,4.94347121122939
317,4.110437402420657
318,3.5652237324448968
319,3.941616944375574
320,4.603583501909801
321,4.802038742476699
322,5.014385716464584
323,4.786047734897186
324,4.737889422025471
325,4.694068229781424
326,4.9183075244553995
327,4.808772494639083
328,4.869872014235907
329,4.862858810389434
330,4.838627653835118
331,4.7839491080151735
332,4.993030635880175
333,4.93948735599473
334,4.859105420377755
335,4.612673759810933
336,4.641740990652269
337,4.813135769877774
338,5.068598900894556
339,4.940176699914594
340,5.004978187328709
341,5.004479294020273
342,4.670178366770241
343,4.740721663007598
344,4.560978585702233
345,4.626819706306907
346,4.45775166890046
347,4.6330914190127315
348,4.482783542374458
349,4.196833720754863
350,3.9688208846039084
351,3.8986553776462305
352,4.013445900604213
353,4.173103784600729
354,4.791941846205977
355,4.543840822631282
356,4.35750365757341
357,3.9402088657752583
358,3.641529207518076
359,3.6643941168252976
360,3.4489582437689545
361,3.7638219779300153
362,3.432627367511872
363,2.7805211556168703
364,2.1211488405092136
365,2.6928393143768607
366,3.1929675331092033
367,3.275957627310172
368,3.5907691399737374
369,2.912187728316626
370,3.471163753491901
371,4.04740983138757
372,3.87718088765269
373,3.5498056395444846
374,4.20967903939097
375,4.1277288066861475
376,3.8363394405880262
377,3.5117534253456526
378,3.641063275649055
379,3.7030574771346534
380,3.759308155972513
381,4.097138769565134
382,4.4828090575819814
383,4.109258244885873
384,3.909798291915755
385,4.004986813308487
386,3.8350612637889196
387,3.98906283708778
388,3.9117096900410027
389,4.292424387144228
390,4.026176096533934
391,4.604022796771897
392,3.274948446023752
393,3.8403401199374567
394,4.073313394523029
395,3.359092081850752
396,3.5345387449052
397,3.442573807149015
398,3.5660223256467916
399,3.42816000602766
400,3.2151026280953348
401,3.426920469222693
402,3.234622464669842
403,3.378715206156761
404,3.1175354488745066
405,3.148593331903459
406,3.1425404611378314
407,2.9145002744984327
408,3.208050491983665
409,3.202594174258283
410,3.3707392159432104
411,3.535348242722279
412,3.7570136193187733
413,4.269886730092806
414,4.436358313558646
415,4.447401309645911
416,3.9598805260195906
417,3.686209146758183
418,3.693072909584696
419,3.569763035204815
420,3.5479951032783807
421,3.4180314831771748
422,3.1047961384894904
423,3.009293617549789
424,3.1183631264519085
425,3.221256442742782
426,2.9417487655509884
427,3.2415853171392173
428,3.1832885176194607
429,2.839775246691042
430,3.049270200120755
431,2.88414770927912
432,2.9994747610978387
433,2.9536376572474534
434,2.67477256225518
435,2.1645218255986696
436,1.92540581536342
437,1.9783470230503601
438,2.0650311493714266
439,2.3098547327848116
440,2.4442616971199658
441,2.392917957864484
442,3.072528073107691
443,2.7440533246195455
444,2.9029712153939484
445,3.06070025779444
446,2.9448679043443753
447,3.842010918401076
448,3.3514809677682824
449,3.16505734032607
450,3.1556752832165844
451,3.2470940996585007
452,3.4424424861648792
453,3.5334442626860874
454,3.562704166816041
455,3.4032333296678257
456,3.0900775506249674
457,3.1984848640172996
458,3.30744273377994
459,3.1408500197197373
460,2.941953327578382
461,2.978088749056779
462,2.757918916169815
463,2.583475217841864
464,2.6788173618236955
465,2.678796517677017
466,2.6146664159829696
467,2.521220870530092
468,2.534724797242767
469,2.550851441612658
470,2.9052153273367582
471,2.604530677367544
472,2.9515622446667447
473,2.3943265600735435
474,2.425358421754719
475,2.68122009219508
