index,windspeed_m/s
393,3.8126114396792445
394,3.191029161537711
395,4.29676733749253
396,4.786494004211937
397,3.765060995964982
398,4.148470404407199
399,3.6544518699495634
400,3.303922585539498
401,3.5866350071581885
402,3.794506244765265
403,2.95540482309748
404,3.7677694360012928
405,3.5628727001376745
406,3.6264039665661576
407,3.4048004960661284
408,3.262380756486074
409,3.2069474423319004
410,3.892508524583862
411,3.699210637732056
412,3.3441864348853496
413,3.71446300504463
414,4.503203243711611
415,5.2966163364649805
416,5.73555673220219
417,3.7406423971285605
418,4.377890052962245
419,4.2585816926471605
420,3.1737048977767213
421,3.623404800221109
422,3.6376260453174396
423,3.7629288401863454
424,4.067304089510898
425,4.411914152684793
426,3.89290568725795
427,3.4148730865718657
428,3.855479488417165
429,3.5275544330034863
430,3.531549027720217
431,3.376494112576781
432,3.7730021971351957
433,3.9297738525508805
434,3.656243791162614
435,3.129470170199628
436,3.011339746906112
437,3.2033210614350676
438,3.0397654898594064
439,2.913770285586685
440,3.1045854353553186
441,2.9060118290125665
442,3.001395898909703
443,3.3225344434515742
444,3.4319947854991693
445,3.905011477457282
446,4.332010044907985
447,3.847251787192045
448,4.26350070000044
449,3.453129153748055
450,3.0716119609856394
451,3.3451498962679813
452,3.8774834636172995
453,4.1069567104517395
454,3.677979914183989
455,3.3920565488937204
456,3.401554800132162
457,3.2336286758616453
458,2.954303478297849
459,2.990070790220677
460,2.703394329220356
461,2.3810393014572413
462,2.6624610766813745
463,2.4728563117465203
464,2.057053751993094
465,2.3428993312742667
466,2.394321434586997
467,2.614081968236136
468,2.0733638086103796
469,1.9400449948251546
470,2.3593430459788194
471,2.6767639851128875
472,2.6998838738518467
473,2.6898358847205253
474,2.132848071075737
475,2.931831228338185
476,2.2609082852543305
477,2.6921680395464125
478,3.330582292929759
479,3.093099863852516
480,3.6929127139957205
481,3.622125832445116
482,4.035550452910803
483,4.9591589484454515
484,6.068011331681994
485,5.5620071727386335
486,5.020662608544268
487,4.730577934440354
488,5.115105269392365
489,5.048124031444529
490,4.473374143566023
491,4.202262326212306
492,5.588509227114165
493,5.220082331436956
494,5.22040249709754
495,4.408457074505454
496,4.128394819152751
497,3.5028375293606118
498,2.7042964384384347
499,3.5398685021689555
500,4.163408447467908
501,4.4699600860256465
502,4.330225383734026
503,4.2598744880048764
504,4.47799089347026
505,4.405636800874732
506,4.348236658833102
507,4.039635899305885
508,4.008649508730015
