index,windspeed_m/s
151,4.670178366770241
152,4.740721663007598
153,4.560978585702233
154,4.626819706306907
155,4.45775166890046
156,4.6330914190127315
157,4.482783542374458
158,4.196833720754863
159,3.9688208846039084
160,3.8986553776462305
161,4.013445900604213
162,4.173103784600729
163,4.791941846205977
164,4.543840822631282
165,4.35750365757341
166,3.9402088657752583
167,3.641529207518076
168,3.6643941168252976
169,3.4489582437689545
170,3.7638219779300153
171,3.432627367511872
172,2.7805211556168703
173,2.1211488405092136
174,2.6928393143768607
175,3.1929675331092033
176,3.275957627310172
177,3.5907691399737374
178,2.912187728316626
179,3.471163753491901
180,4.04740983138757
181,3.87718088765269
182,3.5498056395444846
183,4.20967903939097
184,4.1277288066861475
185,3.8363394405880262
186,3.5117534253456526
187,3.641063275649055
188,3.7030574771346534
189,3.759308155972513
190,4.097138769565134
191,4.4828090575819814
192,4.109258244885873
193,3.909798291915755
194,4.004986813308487
195,3.8350612637889196
196,3.98906283708778
197,3.9117096900410027
198,4.292424387144228
199,4.026176096533934
200,4.604022796771897
201,3.274948446023752
202,3.8403401199374567
203,4.073313394523029
204,3.359092081850752
205,3.5345387449052
206,3.442573807149015
207,3.5660223256467916
208,3.42816000602766
209,3.2151026280953348
210,3.426920469222693
211,3.234622464669842
212,3.378715206156761
213,3.1175354488745066
214,3.148593331903459
215,3.1425404611378314
216,2.9145002744984327
217,3.208050491983665
218,3.202594174258283
219,3.3707392159432104
220,3.535348242722279
221,3.7570136193187733
222,4.269886730092806
223,4.436358313558646
224,4.447401309645911
225,3.9598805260195906
226,3.686209146758183
227,3.693072909584696
228,3.569763035204815
229,3.5479951032783807
230,3.4180314831771748
231,3.1047961384894904
232,3.009293617549789
233,3.1183631264519085
234,3.221256442742782
235,2.9417487655509884
236,3.2415853171392173
237,3.1832885176194607
238,2.839775246691042
239,3.049270200120755
240,2.88414770927912
241,2.9994747610978387
242,2.9536376572474534
243,2.67477256225518
244,2.1645218255986696
245,1.92540581536342
246,1.9783470230503601
247,2.0650311493714266
248,2.3098547327848116
249,2.4442616971199658
250,2.392917957864484
251,3.072528073107691
252,2.7440533246195455
253,2.9029712153939484
254,3.06070025779444
255,2.9448679043443753
256,3.842010918401076
257,3.3514809677682824
258,3.16505734032607
259,3.1556752832165844
260,3.2470940996585007
261,3.4424424861648792
262,3.5334442626860874
263,3.562704166816041
264,3.4032333296678257
265,3.0900775506249674
266,3.1984848640172996
267,3.30744273377994
268,3.1408500197197373
269,2.941953327578382
270,2.978088749056779
271,2.757918916169815
272,2.583475217841864
273,2.6788173618236955
274,2.678796517677017
275,2.6146664159829696
276,2.521220870530092
277,2.534724797242767
278,2.550851441612658
279,2.9052153273367582
280,2.604530677367544
281,2.9515622446667447
282,2.3943265600735435
283,2.425358421754719
284,2.68122009219508
285,2.5547044770033778
286,2.5145480997588754
287,2.382927699872833
288,2.4855219210405295
289,2.7387324868926246
290,2.4370101083544498
291,2.336704402618882
292,2.297334444401965
293,2.8597631094892675
294,2.507164993267746
295,2.3316194438610043
296,2.3870697031076222
297,2.2177647975195693
298,1.795601802154489
299,1.9847151961749647
300,1.9512145911116936
301,1.9017723949924248
302,1.5155213016879032
303,1.1600774980353987
304,1.6249002062153937
305,2.2795114187234065
306,2.0372412143526266
307,2.2988251158224418
308,2.359603251805126
309,2.6336000802889834
310,2.386957749913694
311,2.3732779377574955
312,1.93716925546775
313,2.211915799006252
314,2.3889363289489336
315,1.9263567882492758
316,1.9042910583725923
317,2.0280469433603354
318,1.856530951345881
319,1.7828735087054939
320,2.3555743206780995
321,2.30755804878609
322,2.5556756975670294
323,2.5573648390767434
324,2.3882726650382007
325,2.7023857596958214
326,2.598411726532021
327,2.558722180671436
328,2.310033874560245
329,2.1061059644830293
330,2.255707268737671
331,2.298197651531476
332,2.5136154066222485
333,2.8153161864554095
334,2.881873919321742
335,2.6886260547679637
336,2.465993003346121
337,2.41153969628831
338,2.4955751700448987
339,2.2823586977276102
340,1.9400080804941229
341,2.0873761716505923
342,2.0710039984851236
343,1.8005793773323238
344,1.7101579987035036
345,1.5406708105179374
346,1.537623666111643
347,1.6382884473551473
348,1.770859126785593
349,1.792587850394584
350,1.9118856813504226
351,1.7944131223903765
352,1.942389459209968
353,2.0750590240387456
354,2.422995420738507
355,2.0887409625451614
356,2.0170678769439254
357,2.61135187782566
358,2.4448194623272475
359,2.2289737538648873
360,2.4006009959353753
361,2.284863268725003
362,2.130040682224007
363,2.0887342855125874
364,2.027942705648521
365,2.058391216375974
366,2.1128501502930623
367,1.9802235568247286
368,1.9814012205386307
369,1.9192367187232426
370,1.8822912728644237
371,1.7609931435530395
372,2.335085478662413
373,2.07635325690574
374,2.1457917562245883
375,2.3498583366202714
376,2.57359624110944
377,2.783655759999066
378,3.531329524536666
379,4.019575164888076
380,4.029727829178523
381,3.594748556692705
382,3.7048541455882105
383,3.221909042516516
384,2.573080660253288
385,3.3873401702663477
386,5.281950683021907
387,4.487637403981405
388,4.025688016209086
389,3.546351991457627
390,4.242917896097836
391,4.170900146706158
392,3.2299629129120135
393,1.396949264606221
394,1.85573400455787
395,2.7902597292278615
396,4.62508240070769
397,4.074646446545189
398,3.2839532790671235
399,3.344479598831828
400,4.443626187836035
401,3.9663874956073135
402,3.8713051480125245
403,3.7564196623056634
404,4.214575903651506
405,3.7497463938742204
406,3.8126114396792445
407,3.191029161537711
408,4.29676733749253
409,4.786494004211937
410,3.765060995964982
411,4.148470404407199
412,3.6544518699495634
413,3.303922585539498
414,3.5866350071581885
415,3.794506244765265
416,2.95540482309748
417,3.7677694360012928
418,3.5628727001376745
419,3.6264039665661576
420,3.4048004960661284
421,3.262380756486074
422,3.2069474423319004
423,3.892508524583862
424,3.699210637732056
425,3.3441864348853496
426,3.71446300504463
427,4.503203243711611
428,5.2966163364649805
429,5.73555673220219
430,3.7406423971285605
431,4.377890052962245
432,4.2585816926471605
433,3.1737048977767213
434,3.623404800221109
435,3.6376260453174396
436,3.7629288401863454
437,4.067304089510898
438,4.411914152684793
439,3.89290568725795
440,3.4148730865718657
441,3.855479488417165
442,3.5275544330034863
443,3.531549027720217
444,3.376494112576781
445,3.7730021971351957
446,3.9297738525508805
447,3.656243791162614
448,3.129470170199628
449,3.011339746906112
450,3.2033210614350676
